incident_number,alarm_type,repeat_count,time_of_day2,work_end,true_alarm,false_alarm,true_percentage,false_percentage
602192-16062012,6200,1,Night-time,Week_ends,0,62,0,100
602311-16062012,6990,1,Office Hours,Week_ends,0,315,0,100
602380-16062012,1100,1,Cooking-time,Week_ends,0,78,0,100
602690-17062012,1120,0,Night-time,Week_ends,0,25,0,100
602707-17062012,6990,2,Night-time,Week_ends,0,79,0,100
603461-18062012,1120,1,Office Hours,Work_days,0,2,0,100
603510-18062012,1100,1,Cooking-time,Work_days,0,202,0,100
603662-19062012,6200,1,Night-time,Work_days,0,123,0,100
605258-22062012,1370,0,Office Hours,Work_days,0,1,0,100
606087-23062012,0,0,Office Hours,Week_ends,0,14,0,100
606198-23062012,0,0,Cooking-time,Week_ends,0,26,0,100
606929-25062012,7100,0,Cooking-time,Work_days,0,1,0,100
607026-25062012,6110,1,Office Hours,Work_days,0,128,0,100
607197-25062012,6110,2,Office Hours,Work_days,0,33,0,100
608004-26062012,0,0,Night-time,Work_days,0,50,0,100
609712-30062012,1900,0,Night-time,Week_ends,0,14,0,100
609733-30062012,1100,1,Night-time,Week_ends,0,67,0,100
609746-30062012,1900,1,Night-time,Week_ends,0,5,0,100
609765-30062012,1900,2,Night-time,Week_ends,0,2,0,100
609974-30062012,1100,2,Cooking-time,Week_ends,0,16,0,100
610292-30062012,1900,3,Night-time,Week_ends,0,1,0,100
610434-01072012,1900,4,Cooking-time,Week_ends,0,1,0,100
610471-01072012,1100,2,Office Hours,Week_ends,0,12,0,100
610836-01072012,0,1,Night-time,Week_ends,0,1,0,100
610861-02072012,7110,0,Night-time,Work_days,0,11,0,100
611320-02072012,6120,0,Cooking-time,Work_days,0,17,0,100
611321-02072012,1170,0,Cooking-time,Work_days,0,4,0,100
611403-03072012,6900,3,Night-time,Work_days,0,53,0,100
611408-03072012,6120,1,Night-time,Work_days,0,1,0,100
611409-03072012,1170,1,Night-time,Work_days,0,1,0,100
611562-03072012,6900,3,Office Hours,Work_days,0,31,0,100
611808-03072012,6200,3,Cooking-time,Work_days,0,7,0,100
611828-03072012,6200,4,Cooking-time,Work_days,0,3,0,100
611912-03072012,6900,4,Night-time,Work_days,0,21,0,100
611946-04072012,6100,3,Night-time,Work_days,0,39,0,100
612022-04072012,6900,5,Cooking-time,Work_days,0,18,0,100
612533-05072012,6100,4,Night-time,Work_days,0,15,0,100
612694-05072012,6110,3,Office Hours,Work_days,0,1,0,100
613265-06072012,6100,3,Office Hours,Work_days,0,27,0,100
613761-07072012,7110,0,Office Hours,Week_ends,0,16,0,100
614644-08072012,1900,0,Cooking-time,Week_ends,0,18,0,100
616677-12072012,1100,2,Night-time,Work_days,0,59,0,100
616729-13072012,1100,3,Night-time,Work_days,0,21,0,100
616870-13072012,1900,0,Office Hours,Work_days,0,24,0,100
617019-13072012,1100,4,Office Hours,Work_days,0,4,0,100
617472-14072012,6110,3,Cooking-time,Week_ends,0,4,0,100
617531-14072012,6990,3,Cooking-time,Week_ends,0,33,0,100
618960-17072012,6200,2,Night-time,Work_days,0,19,0,100
619240-17072012,6100,2,Office Hours,Work_days,0,100,0,100
619329-17072012,6990,3,Office Hours,Work_days,0,37,0,100
619332-17072012,6990,4,Office Hours,Work_days,0,14,0,100
619336-17072012,6990,6,Cooking-time,Work_days,0,11,0,100
619344-17072012,6990,7,Cooking-time,Work_days,0,5,0,100
619610-18072012,6990,8,Cooking-time,Work_days,0,2,0,100
621302-21072012,6110,2,Office Hours,Week_ends,0,5,0,100
621628-22072012,1200,0,Night-time,Week_ends,0,2,0,100
621642-22072012,1200,1,Cooking-time,Week_ends,0,1,0,100
622533-24072012,1900,0,Night-time,Work_days,0,37,0,100
623214-25072012,1370,0,Cooking-time,Work_days,0,1,0,100
624042-27072012,1120,1,Night-time,Work_days,0,10,0,100
624151-27072012,1120,2,Cooking-time,Work_days,0,1,0,100
624582-28072012,6990,3,Night-time,Week_ends,0,8,0,100
624621-28072012,6990,4,Night-time,Week_ends,0,4,0,100
624901-28072012,6200,1,Office Hours,Week_ends,0,49,0,100
626716-31072012,6100,4,Cooking-time,Work_days,0,17,0,100
626786-01082012,6100,5,Night-time,Work_days,0,8,0,100
627055-01082012,1200,0,Office Hours,Work_days,0,10,0,100
627197-01082012,1200,1,Cooking-time,Work_days,0,2,0,100
627266-01082012,1200,2,Cooking-time,Work_days,0,2,0,100
627308-02082012,1200,3,Night-time,Work_days,0,1,0,100
627325-02082012,6100,6,Night-time,Work_days,0,2,0,100
627652-02082012,6100,7,Office Hours,Work_days,0,2,0,100
627812-02082012,1200,4,Cooking-time,Work_days,0,1,0,100
627895-03082012,6100,8,Night-time,Work_days,0,1,0,100
627919-03082012,6990,3,Night-time,Work_days,0,65,0,100
628616-04082012,6100,2,Night-time,Week_ends,0,49,0,100
629467-05082012,6990,5,Cooking-time,Week_ends,0,2,0,100
630784-07082012,6110,3,Cooking-time,Work_days,0,19,0,100
632818-10082012,6990,4,Night-time,Work_days,0,20,0,100
632839-10082012,6990,5,Night-time,Work_days,0,6,0,100
634199-11082012,6100,2,Office Hours,Week_ends,0,38,0,100
634777-11082012,1100,2,Night-time,Week_ends,0,20,0,100
634868-12082012,1100,3,Night-time,Week_ends,0,7,0,100
635333-12082012,6120,0,Cooking-time,Week_ends,0,5,0,100
635379-12082012,1100,4,Cooking-time,Week_ends,0,3,0,100
637517-16082012,1190,0,Cooking-time,Work_days,0,1,0,100
638961-17082012,6110,3,Night-time,Work_days,0,9,0,100
639005-18082012,6110,4,Night-time,Week_ends,0,2,0,100
641482-21082012,1200,0,Cooking-time,Work_days,0,19,0,100
642400-22082012,6100,3,Cooking-time,Work_days,0,55,0,100
644239-25082012,1120,0,Cooking-time,Week_ends,0,25,0,100
644735-25082012,6100,3,Cooking-time,Week_ends,0,26,0,100
644757-25082012,6100,4,Cooking-time,Week_ends,0,8,0,100
644864-25082012,6110,2,Cooking-time,Week_ends,0,14,0,100
644906-25082012,6110,1,Night-time,Week_ends,0,42,0,100
648630-31082012,1120,3,Cooking-time,Work_days,0,1,0,100
648870-31082012,6200,2,Cooking-time,Work_days,0,30,0,100
649480-01092012,6990,3,Office Hours,Week_ends,0,10,0,100
649644-01092012,6290,0,Cooking-time,Week_ends,0,2,0,100
649774-01092012,6990,4,Office Hours,Week_ends,0,9,0,100
653703-05092012,1900,1,Cooking-time,Work_days,0,10,0,100
655863-07092012,0,1,Cooking-time,Work_days,0,2,0,100
657446-09092012,6100,3,Night-time,Week_ends,0,7,0,100
657544-09092012,6100,4,Office Hours,Week_ends,0,5,0,100
661282-14092012,1100,4,Night-time,Work_days,0,6,0,100
661987-15092012,6900,6,Night-time,Week_ends,0,2,0,100
662003-15092012,6900,7,Cooking-time,Week_ends,0,1,0,100
662162-15092012,6900,8,Office Hours,Week_ends,0,1,0,100
662531-15092012,6900,9,Cooking-time,Week_ends,0,1,0,100
662782-16092012,0,1,Cooking-time,Week_ends,0,2,0,100
663398-16092012,0,0,Night-time,Week_ends,0,11,0,100
664420-18092012,1120,2,Office Hours,Work_days,0,1,0,100
669921-26092012,6990,4,Cooking-time,Work_days,0,27,0,100
671463-28092012,6900,5,Night-time,Work_days,0,9,0,100
671475-28092012,6900,6,Night-time,Work_days,0,7,0,100
671480-28092012,6900,7,Night-time,Work_days,0,5,0,100
671483-28092012,6900,8,Night-time,Work_days,0,2,0,100
671487-28092012,6900,9,Night-time,Work_days,0,2,0,100
671909-28092012,6900,10,Cooking-time,Work_days,0,3,0,100
671932-28092012,6900,11,Cooking-time,Work_days,0,1,0,100
672864-29092012,6200,2,Office Hours,Week_ends,0,4,0,100
672889-29092012,1900,0,Office Hours,Week_ends,0,10,0,100
673560-30092012,6100,5,Cooking-time,Week_ends,0,5,0,100
679159-06102012,6200,2,Cooking-time,Week_ends,0,15,0,100
679312-06102012,6900,3,Night-time,Week_ends,0,18,0,100
681404-10102012,6200,4,Night-time,Work_days,0,4,0,100
684928-16102012,1900,1,Night-time,Work_days,0,3,0,100
684949-16102012,6200,3,Night-time,Work_days,0,8,0,100
689862-22102012,6110,2,Night-time,Work_days,0,28,0,100
689881-22102012,6110,4,Night-time,Work_days,0,6,0,100
692118-25102012,1100,4,Cooking-time,Work_days,0,8,0,100
702563-07112012,6290,1,Office Hours,Work_days,0,1,0,100
703054-08112012,1900,1,Office Hours,Work_days,0,3,0,100
703152-08112012,1900,2,Cooking-time,Work_days,0,4,0,100
703171-08112012,1900,3,Cooking-time,Work_days,0,2,0,100
704379-10112012,6110,2,Night-time,Week_ends,0,9,0,100
704497-10112012,1160,0,Cooking-time,Week_ends,0,1,0,100
705641-12112012,1120,1,Cooking-time,Work_days,0,9,0,100
708026-15112012,6600,0,Cooking-time,Work_days,0,2,0,100
711287-21112012,1100,3,Cooking-time,Work_days,0,13,0,100
713294-24112012,7110,1,Cooking-time,Week_ends,0,1,0,100
713869-25112012,7110,2,Night-time,Week_ends,0,1,0,100
714238-25112012,1170,0,Cooking-time,Week_ends,0,2,0,100
714349-25112012,1200,0,Office Hours,Week_ends,0,3,0,100
714421-25112012,6120,0,Office Hours,Week_ends,0,8,0,100
718671-01122012,6900,4,Cooking-time,Week_ends,0,12,0,100
719887-03122012,1160,0,Night-time,Work_days,0,1,0,100
721428-05122012,1170,0,Night-time,Work_days,0,5,0,100
722656-06122012,6900,7,Cooking-time,Work_days,0,6,0,100
722684-06122012,6900,8,Cooking-time,Work_days,0,4,0,100
729004-15122012,6200,2,Night-time,Week_ends,0,6,0,100
732427-19122012,1100,3,Office Hours,Work_days,0,4,0,100
732764-20122012,1100,5,Night-time,Work_days,0,5,0,100
733666-21122012,6110,5,Night-time,Work_days,0,3,0,100
733749-21122012,6110,6,Cooking-time,Work_days,0,2,0,100
734218-21122012,6110,7,Cooking-time,Work_days,0,1,0,100
734355-22122012,1160,0,Night-time,Week_ends,0,1,0,100
735869-23122012,1120,1,Office Hours,Week_ends,0,1,0,100
738200-26122012,6100,4,Office Hours,Work_days,0,5,0,100
738765-27122012,6100,7,Cooking-time,Work_days,0,1,0,100
738964-28122012,1900,2,Night-time,Work_days,0,1,0,100
739340-28122012,6100,8,Office Hours,Work_days,0,1,0,100
740438-30122012,6900,4,Office Hours,Week_ends,0,7,0,100
740864-30122012,6900,5,Cooking-time,Week_ends,0,7,0,100
008835-09012013,6900,6,Cooking-time,Work_days,0,9,0,100
013302-13012013,1100,3,Cooking-time,Week_ends,0,5,0,100
013636-13012013,1100,4,Night-time,Week_ends,0,5,0,100
013764-14012013,1100,6,Cooking-time,Work_days,0,2,0,100
013782-14012013,1100,7,Cooking-time,Work_days,0,2,0,100
015210-16012013,1170,0,Office Hours,Work_days,0,3,0,100
017474-18012013,6110,4,Cooking-time,Work_days,0,5,0,100
019579-19012013,1120,1,Cooking-time,Week_ends,0,2,0,100
020161-20012013,1200,0,Cooking-time,Week_ends,0,4,0,100
026943-28012013,1100,5,Cooking-time,Work_days,0,3,0,100
027209-29012013,6990,8,Night-time,Work_days,0,3,0,100
027216-29012013,6990,9,Night-time,Work_days,0,1,0,100
027414-29012013,6110,6,Night-time,Work_days,0,2,0,100
030071-02022013,6110,4,Office Hours,Week_ends,0,2,0,100
030247-02022013,6990,5,Office Hours,Week_ends,0,4,0,100
030360-02022013,6990,6,Cooking-time,Week_ends,0,3,0,100
030431-02022013,6990,7,Night-time,Week_ends,0,3,0,100
030460-03022013,6990,8,Night-time,Week_ends,0,3,0,100
035262-11022013,6200,3,Office Hours,Work_days,0,5,0,100
042136-23022013,6900,3,Office Hours,Week_ends,0,12,0,100
043640-24022013,6110,3,Office Hours,Week_ends,0,4,0,100
043696-24022013,6110,4,Cooking-time,Week_ends,0,1,0,100
043869-24022013,6100,3,Office Hours,Week_ends,0,13,0,100
043898-24022013,6110,5,Office Hours,Week_ends,0,1,0,100
044456-25022013,6100,5,Cooking-time,Work_days,0,6,0,100
047574-02032013,1120,1,Night-time,Week_ends,0,3,0,100
051558-10032013,6290,0,Night-time,Week_ends,0,6,0,100
054698-16032013,6990,5,Night-time,Week_ends,0,1,0,100
054702-16032013,6990,6,Night-time,Week_ends,0,1,0,100
054752-16032013,6990,9,Night-time,Week_ends,0,1,0,100
054928-16032013,6990,10,Cooking-time,Week_ends,0,1,0,100
054988-16032013,6990,11,Cooking-time,Week_ends,0,1,0,100
055001-16032013,6990,12,Office Hours,Week_ends,0,1,0,100
055016-16032013,6990,13,Office Hours,Week_ends,0,1,0,100
055058-16032013,6990,14,Office Hours,Week_ends,0,1,0,100
055073-16032013,6990,15,Office Hours,Week_ends,0,1,0,100
056431-19032013,1200,0,Night-time,Work_days,0,12,0,100
056702-19032013,6110,5,Office Hours,Work_days,0,2,0,100
057285-20032013,6110,6,Office Hours,Work_days,0,2,0,100
059181-23032013,6110,5,Cooking-time,Week_ends,0,1,0,100
059239-23032013,6110,6,Cooking-time,Week_ends,0,1,0,100
059360-23032013,6110,7,Office Hours,Week_ends,0,1,0,100
059625-24032013,6110,8,Night-time,Week_ends,0,1,0,100
063896-30032013,6210,0,Cooking-time,Week_ends,0,3,0,100
064267-31032013,6210,1,Night-time,Week_ends,0,1,0,100
064340-31032013,6210,2,Night-time,Week_ends,0,1,0,100
067048-05042013,1100,6,Night-time,Work_days,0,2,0,100
067362-05042013,1100,7,Office Hours,Work_days,0,1,0,100
067780-06042013,1100,8,Office Hours,Week_ends,0,1,0,100
069245-09042013,6210,0,Night-time,Work_days,0,5,0,100
069314-09042013,6210,1,Cooking-time,Work_days,0,2,0,100
069342-09042013,6900,4,Office Hours,Work_days,0,12,0,100
072219-14042013,6900,5,Night-time,Week_ends,0,3,0,100
083292-02052013,6210,0,Cooking-time,Work_days,0,4,0,100
088722-11052013,6210,0,Office Hours,Week_ends,0,2,0,100
095050-21052013,6200,4,Office Hours,Work_days,0,1,0,100
097298-25052013,6900,8,Night-time,Week_ends,0,1,0,100
097317-25052013,6210,0,Night-time,Week_ends,0,1,0,100
099348-28052013,7110,1,Cooking-time,Work_days,0,5,0,100
108877-16062013,6290,1,Office Hours,Week_ends,0,1,0,100
111802-22062013,1100,5,Night-time,Week_ends,0,2,0,100
112924-23062013,7110,1,Night-time,Week_ends,0,2,0,100
113307-24062013,6290,0,Office Hours,Work_days,0,3,0,100
113849-25062013,6210,0,Office Hours,Work_days,0,4,0,100
118045-03072013,6990,6,Office Hours,Work_days,0,3,0,100
118101-03072013,6990,7,Office Hours,Work_days,0,2,0,100
118473-04072013,6990,9,Cooking-time,Work_days,0,1,0,100
121869-10072013,8990,0,Cooking-time,Work_days,0,1,0,100
154619-01092013,7110,0,Night-time,Week_ends,0,6,0,100
203398-24102013,6990,7,Night-time,Work_days,0,2,0,100
209019-30102013,1100,8,Cooking-time,Work_days,0,1,0,100
209020-30102013,1100,9,Cooking-time,Work_days,0,1,0,100
209021-30102013,1100,10,Cooking-time,Work_days,0,1,0,100
209022-30102013,1100,11,Cooking-time,Work_days,0,1,0,100
209023-30102013,1100,12,Cooking-time,Work_days,0,1,0,100
209024-30102013,1100,13,Cooking-time,Work_days,0,1,0,100
209025-30102013,1100,14,Cooking-time,Work_days,0,1,0,100
209026-30102013,1100,15,Cooking-time,Work_days,0,1,0,100
209027-30102013,1100,16,Cooking-time,Work_days,0,1,0,100
209028-30102013,1100,17,Cooking-time,Work_days,0,1,0,100
209029-30102013,1100,18,Cooking-time,Work_days,0,1,0,100
209030-30102013,1100,19,Cooking-time,Work_days,0,1,0,100
209031-30102013,1100,20,Cooking-time,Work_days,0,1,0,100
209032-30102013,1100,21,Cooking-time,Work_days,0,1,0,100
209033-30102013,1100,22,Cooking-time,Work_days,0,1,0,100
209034-30102013,1100,23,Cooking-time,Work_days,0,1,0,100
209035-30102013,1100,24,Cooking-time,Work_days,0,1,0,100
209036-30102013,1100,25,Cooking-time,Work_days,0,1,0,100
209037-30102013,1100,26,Cooking-time,Work_days,0,1,0,100
209038-30102013,1100,27,Cooking-time,Work_days,0,1,0,100
209039-30102013,1100,28,Cooking-time,Work_days,0,1,0,100
209040-30102013,1100,29,Cooking-time,Work_days,0,1,0,100
209041-30102013,1100,30,Cooking-time,Work_days,0,1,0,100
209042-30102013,1100,31,Cooking-time,Work_days,0,1,0,100
209043-30102013,1100,32,Cooking-time,Work_days,0,1,0,100
209044-30102013,1100,33,Cooking-time,Work_days,0,1,0,100
209045-30102013,1100,34,Cooking-time,Work_days,0,1,0,100
209046-30102013,1100,35,Cooking-time,Work_days,0,1,0,100
209047-30102013,1100,36,Cooking-time,Work_days,0,1,0,100
209048-30102013,1100,37,Cooking-time,Work_days,0,1,0,100
209049-30102013,1100,38,Cooking-time,Work_days,0,1,0,100
209050-30102013,1100,39,Cooking-time,Work_days,0,1,0,100
209051-30102013,1100,40,Cooking-time,Work_days,0,1,0,100
209052-30102013,1100,41,Cooking-time,Work_days,0,1,0,100
209053-30102013,1100,42,Office Hours,Work_days,0,1,0,100
209054-30102013,1100,43,Office Hours,Work_days,0,1,0,100
209064-30102013,1100,44,Office Hours,Work_days,0,1,0,100
209067-30102013,1100,45,Office Hours,Work_days,0,1,0,100
209564-31102013,1900,4,Cooking-time,Work_days,0,1,0,100
209565-31102013,1900,5,Cooking-time,Work_days,0,1,0,100
209566-31102013,1900,6,Cooking-time,Work_days,0,1,0,100
209567-31102013,1900,7,Cooking-time,Work_days,0,1,0,100
209568-31102013,1900,8,Cooking-time,Work_days,0,1,0,100
209569-31102013,1900,9,Cooking-time,Work_days,0,1,0,100
209570-31102013,1900,10,Cooking-time,Work_days,0,1,0,100
210965-02112013,6120,1,Office Hours,Week_ends,0,1,0,100
211330-02112013,1100,3,Office Hours,Week_ends,0,4,0,100
224753-19112013,7110,1,Office Hours,Work_days,0,4,0,100
234780-06122013,1200,1,Night-time,Work_days,0,4,0,100
235343-07122013,1200,2,Cooking-time,Week_ends,0,1,0,100
235854-08122013,1200,3,Cooking-time,Week_ends,0,1,0,100
236069-08122013,1200,4,Cooking-time,Week_ends,0,1,0,100
236726-09122013,1200,5,Cooking-time,Work_days,0,1,0,100
236786-09122013,1200,6,Night-time,Work_days,0,1,0,100
237823-11122013,6990,8,Office Hours,Work_days,0,2,0,100
037114-25022014,2270,0,Office Hours,Work_days,0,2,0,100
040190-03032014,6210,1,Office Hours,Work_days,0,1,0,100
040676-04032014,6990,5,Office Hours,Work_days,0,2,0,100
062375-12042014,1110,0,Night-time,Week_ends,0,1,0,100
063942-15042014,6900,5,Office Hours,Work_days,0,1,0,100
068080-23042014,6200,5,Night-time,Work_days,0,1,0,100
074018-04052014,6900,6,Cooking-time,Week_ends,0,2,0,100
074689-05052014,1100,6,Office Hours,Work_days,0,1,0,100
074962-06052014,1100,7,Night-time,Work_days,0,2,0,100
075421-06052014,1100,8,Night-time,Work_days,0,1,0,100
075447-07052014,1100,9,Night-time,Work_days,0,1,0,100
075454-07052014,1100,10,Night-time,Work_days,0,1,0,100
075565-07052014,1100,11,Office Hours,Work_days,0,1,0,100
080964-17052014,1100,6,Night-time,Week_ends,0,1,0,100
080982-17052014,1100,7,Night-time,Week_ends,0,1,0,100
080995-17052014,1100,8,Night-time,Week_ends,0,1,0,100
105216-01072014,2270,0,Cooking-time,Work_days,0,6,0,100
109629-08072014,6900,8,Office Hours,Work_days,0,1,0,100
115841-18072014,1130,0,Cooking-time,Work_days,0,1,0,100
120042-25072014,6900,7,Office Hours,Work_days,0,1,0,100
130992-10082014,6200,3,Cooking-time,Week_ends,0,2,0,100
147436-10092014,1200,1,Office Hours,Work_days,0,1,0,100
149134-13092014,1900,1,Cooking-time,Week_ends,0,1,0,100
168014-12102014,1170,0,Office Hours,Week_ends,0,1,0,100
170601-15102014,6900,6,Office Hours,Work_days,0,1,0,100
170676-15102014,1110,0,Cooking-time,Work_days,0,1,0,100
170973-16102014,1110,1,Cooking-time,Work_days,0,1,0,100
176281-25102014,2350,0,Office Hours,Week_ends,0,1,0,100
186509-06112014,6100,6,Cooking-time,Work_days,0,4,0,100
187634-08112014,2350,0,Cooking-time,Week_ends,0,1,0,100
188108-09112014,6200,3,Office Hours,Week_ends,0,1,0,100
188140-09112014,6200,4,Office Hours,Week_ends,0,1,0,100
188291-09112014,6200,5,Cooking-time,Week_ends,0,1,0,100
188498-09112014,6200,6,Cooking-time,Week_ends,0,1,0,100
198763-23112014,7110,1,Office Hours,Week_ends,0,1,0,100
208852-07122014,6100,6,Night-time,Week_ends,0,1,0,100
211074-10122014,6100,5,Office Hours,Work_days,0,2,0,100
213596-14122014,4310,0,Office Hours,Week_ends,0,1,0,100
218190-21122014,6900,5,Office Hours,Week_ends,0,2,0,100
021145-07022015,6100,6,Cooking-time,Week_ends,0,3,0,100
028675-21022015,6100,6,Office Hours,Week_ends,0,1,0,100
028784-21022015,6100,7,Cooking-time,Week_ends,0,1,0,100
028954-21022015,6100,8,Cooking-time,Week_ends,0,2,0,100
029430-22022015,6100,9,Cooking-time,Week_ends,0,4,0,100
031362-26022015,6100,6,Office Hours,Work_days,0,1,0,100
031823-27022015,6100,8,Cooking-time,Work_days,0,1,0,100
032879-01032015,6110,3,Night-time,Week_ends,0,3,0,100
033018-01032015,6100,10,Cooking-time,Week_ends,0,1,0,100
033329-01032015,6900,6,Office Hours,Week_ends,0,1,0,100
033344-01032015,6900,7,Office Hours,Week_ends,0,1,0,100
033458-01032015,6100,11,Cooking-time,Week_ends,0,1,0,100
036823-07032015,1100,4,Office Hours,Week_ends,0,1,0,100
036854-07032015,1100,5,Office Hours,Week_ends,0,1,0,100
046509-24032015,2350,0,Night-time,Work_days,0,1,0,100
056669-11042015,6100,7,Night-time,Week_ends,0,1,0,100
056731-12042015,6100,8,Night-time,Week_ends,0,1,0,100
057049-12042015,6100,10,Office Hours,Week_ends,0,1,0,100
058408-15042015,1140,0,Cooking-time,Work_days,0,1,0,100
058492-15042015,1140,1,Cooking-time,Work_days,0,1,0,100
067084-22042015,6110,5,Cooking-time,Work_days,0,1,0,100
068161-22042015,4110,0,Night-time,Work_days,0,1,0,100
069486-24042015,6200,5,Cooking-time,Work_days,0,2,0,100
069655-24042015,6110,7,Office Hours,Work_days,0,1,0,100
070075-25042015,6990,6,Office Hours,Week_ends,0,1,0,100
070077-25042015,6990,7,Office Hours,Week_ends,0,1,0,100
070286-25042015,2270,0,Office Hours,Week_ends,0,1,0,100
075430-03052015,6100,7,Office Hours,Week_ends,0,1,0,100
075621-03052015,6200,4,Cooking-time,Week_ends,0,1,0,100
076165-04052015,6900,9,Cooking-time,Work_days,0,1,0,100
095408-10062015,6110,4,Office Hours,Work_days,0,1,0,100
096229-12062015,1120,2,Night-time,Work_days,0,1,0,100
097074-13062015,1100,5,Cooking-time,Week_ends,0,1,0,100
097414-14062015,1170,0,Night-time,Week_ends,0,1,0,100
103128-25062015,6120,1,Cooking-time,Work_days,0,2,0,100
113338-15072015,0,1,Office Hours,Work_days,0,1,0,100
