incident_number,season,alarm_type,time_of_day2,build_type,work_end,true_alarm,false_alarm,true_percentage,false_percentage
663027-16092012,Spring,6200,Cooking-time,shopping_mall,Week_ends,0,29,0,100
663202-16092012,Spring,1100,Office Hours,shopping_mall,Week_ends,0,19,0,100
663214-16092012,Spring,6900,Office Hours,restaurant,Week_ends,0,5,0,100
663398-16092012,Spring,0,Night-time,others,Week_ends,0,4,0,100
663405-16092012,Spring,1100,Night-time,industry_facility,Week_ends,0,8,0,100
664039-18092012,Spring,1100,Night-time,industry_facility,Work_days,0,10,0,100
664089-18092012,Spring,6900,Night-time,restaurant,Work_days,0,10,0,100
664192-18092012,Spring,1120,Office Hours,hotel,Work_days,0,3,0,100
664398-18092012,Spring,6100,Office Hours,industry_facility,Work_days,0,17,0,100
664420-18092012,Spring,1120,Office Hours,others,Work_days,0,8,0,100
664427-18092012,Spring,1100,Office Hours,hotel,Work_days,0,7,0,100
664657-19092012,Spring,1120,Night-time,hotel,Work_days,0,2,0,100
664791-19092012,Spring,6100,Cooking-time,tansport,Work_days,0,39,0,100
665149-19092012,Spring,6200,Office Hours,office,Work_days,0,13,0,100
665942-20092012,Spring,6110,Cooking-time,hospital,Work_days,0,10,0,100
665956-20092012,Spring,1100,Cooking-time,hotel,Work_days,0,21,0,100
666275-21092012,Spring,6200,Cooking-time,house,Work_days,0,4,0,100
666363-21092012,Spring,6110,Office Hours,office,Work_days,0,8,0,100
666369-21092012,Spring,6110,Office Hours,shopping_mall,Work_days,0,7,0,100
666718-22092012,Spring,6200,Night-time,shopping_mall,Week_ends,0,8,0,100
666984-22092012,Spring,6110,Cooking-time,apartment,Week_ends,0,8,0,100
667284-22092012,Spring,6200,Office Hours,apartment,Week_ends,0,25,0,100
667445-22092012,Spring,1100,Cooking-time,hotel,Week_ends,0,4,0,100
667520-23092012,Spring,1100,Night-time,shopping_mall,Week_ends,0,17,0,100
667622-23092012,Spring,1100,Night-time,hotel,Week_ends,0,5,0,100
667939-23092012,Spring,1100,Office Hours,office,Week_ends,0,3,0,100
668175-23092012,Spring,0,Night-time,public_facility,Week_ends,0,1,0,100
668896-24092012,Spring,6200,Office Hours,public_facility,Work_days,0,11,0,100
668995-24092012,Spring,1100,Cooking-time,house,Work_days,0,7,0,100
669832-26092012,Spring,1900,Night-time,apartment,Work_days,0,5,0,100
672889-29092012,Spring,1900,Office Hours,others,Week_ends,0,6,0,100
673129-29092012,Spring,1100,Night-time,tansport,Week_ends,0,4,0,100
673322-30092012,Spring,6200,Night-time,industry_facility,Week_ends,0,4,0,100
673343-30092012,Spring,6200,Night-time,school,Week_ends,0,4,0,100
673549-30092012,Spring,0,Cooking-time,school,Week_ends,0,2,0,100
673810-30092012,Spring,6900,Office Hours,tansport,Week_ends,0,11,0,100
674655-01102012,Spring,6120,Cooking-time,others,Work_days,0,1,0,100
674792-01102012,Spring,6990,Night-time,house,Work_days,0,12,0,100
675576-03102012,Spring,1900,Night-time,others,Work_days,0,6,0,100
675966-03102012,Spring,6200,Office Hours,house,Work_days,0,8,0,100
676819-04102012,Spring,1100,Office Hours,industry_facility,Work_days,0,8,0,100
677158-04102012,Spring,6110,Night-time,office,Work_days,0,10,0,100
678129-05102012,Spring,6990,Office Hours,house,Work_days,0,14,0,100
678472-06102012,Spring,6100,Night-time,school,Week_ends,0,17,0,100
678507-06102012,Spring,6110,Night-time,school,Week_ends,0,16,0,100
678627-06102012,Spring,1120,Cooking-time,others,Week_ends,0,8,0,100
679288-06102012,Spring,6990,Cooking-time,industry_facility,Week_ends,0,23,0,100
679385-07102012,Spring,6990,Night-time,industry_facility,Week_ends,0,11,0,100
679447-07102012,Spring,6100,Night-time,industry_facility,Week_ends,0,2,0,100
680220-08102012,Spring,6200,Office Hours,rest_home,Work_days,0,24,0,100
680455-08102012,Spring,1900,Office Hours,others,Work_days,0,5,0,100
681760-10102012,Spring,1100,Office Hours,house,Work_days,0,2,0,100
682355-11102012,Spring,6200,Office Hours,hotel,Work_days,0,21,0,100
683106-13102012,Spring,1900,Night-time,apartment,Week_ends,0,5,0,100
683223-13102012,Spring,1900,Cooking-time,others,Week_ends,0,5,0,100
683592-13102012,Spring,7110,Cooking-time,others,Week_ends,0,2,0,100
683838-14102012,Spring,6110,Office Hours,house,Week_ends,0,1,0,100
684934-16102012,Spring,6110,Night-time,shopping_mall,Work_days,0,6,0,100
685488-16102012,Spring,6900,Cooking-time,restaurant,Work_days,0,14,0,100
685522-16102012,Spring,1170,Cooking-time,others,Work_days,0,1,0,100
685686-17102012,Spring,6110,Night-time,hospital,Work_days,0,5,0,100
685785-17102012,Spring,1120,Cooking-time,hospital,Work_days,0,2,0,100
685904-17102012,Spring,6990,Cooking-time,restaurant,Work_days,0,6,0,100
686381-17102012,Spring,7110,Night-time,others,Work_days,0,3,0,100
687235-19102012,Spring,6100,Office Hours,restaurant,Work_days,0,4,0,100
687975-20102012,Spring,6110,Night-time,rest_home,Week_ends,0,2,0,100
688730-20102012,Spring,6990,Office Hours,hospital,Week_ends,0,41,0,100
688756-20102012,Spring,6900,Office Hours,house,Week_ends,0,4,0,100
689078-21102012,Spring,6120,Night-time,others,Week_ends,0,5,0,100
689149-21102012,Spring,1900,Cooking-time,apartment,Week_ends,0,1,0,100
690003-22102012,Spring,1900,Office Hours,shopping_mall,Work_days,0,1,0,100
690583-22102012,Spring,6100,Night-time,house,Work_days,0,12,0,100
690949-23102012,Spring,6110,Cooking-time,rest_home,Work_days,0,9,0,100
693272-26102012,Spring,6200,Cooking-time,industry_facility,Work_days,0,8,0,100
693567-26102012,Spring,6110,Cooking-time,house,Work_days,0,1,0,100
693846-27102012,Spring,1120,Cooking-time,shopping_mall,Week_ends,0,1,0,100
693882-27102012,Spring,6110,Office Hours,school,Week_ends,0,17,0,100
693965-27102012,Spring,6110,Office Hours,industry_facility,Week_ends,0,3,0,100
694783-28102012,Spring,6200,Office Hours,rest_home,Week_ends,0,5,0,100
695967-29102012,Spring,6110,Night-time,industry_facility,Work_days,0,4,0,100
697453-01112012,Spring,6200,Night-time,school,Work_days,0,15,0,100
697484-01112012,Spring,0,Night-time,public_facility,Work_days,0,1,0,100
697576-01112012,Spring,1200,Cooking-time,public_facility,Work_days,0,1,0,100
697988-01112012,Spring,6110,Office Hours,public_facility,Work_days,0,13,0,100
698754-02112012,Spring,1100,Cooking-time,rest_home,Work_days,0,12,0,100
698907-02112012,Spring,1900,Office Hours,public_facility,Work_days,0,4,0,100
699255-03112012,Spring,6200,Night-time,hospital,Week_ends,0,2,0,100
699372-03112012,Spring,6200,Night-time,rest_home,Week_ends,0,5,0,100
699603-03112012,Spring,6200,Cooking-time,office,Week_ends,0,9,0,100
700182-04112012,Spring,6200,Cooking-time,school,Week_ends,0,3,0,100
700237-04112012,Spring,6200,Office Hours,school,Week_ends,0,3,0,100
700720-04112012,Spring,7110,Cooking-time,public_facility,Week_ends,0,5,0,100
700756-04112012,Spring,6110,Night-time,public_facility,Week_ends,0,3,0,100
701518-06112012,Spring,1100,Night-time,hospital,Work_days,0,3,0,100
701632-06112012,Spring,1900,Cooking-time,public_facility,Work_days,0,4,0,100
702297-07112012,Spring,7110,Cooking-time,others,Work_days,0,2,0,100
702563-07112012,Spring,6290,Office Hours,school,Work_days,0,1,0,100
703055-08112012,Spring,6120,Office Hours,industry_facility,Work_days,0,2,0,100
703649-08112012,Spring,1100,Night-time,house,Work_days,0,3,0,100
703748-09112012,Spring,6110,Night-time,rest_home,Work_days,0,6,0,100
704379-10112012,Spring,6110,Night-time,office,Week_ends,0,3,0,100
704462-10112012,Spring,1100,Cooking-time,hospital,Week_ends,0,1,0,100
704497-10112012,Spring,1160,Cooking-time,office,Week_ends,0,1,0,100
704503-10112012,Spring,6100,Cooking-time,house,Week_ends,0,1,0,100
704582-10112012,Spring,6200,Cooking-time,hospital,Week_ends,0,5,0,100
704705-10112012,Spring,6100,Office Hours,restaurant,Week_ends,0,2,0,100
706018-12112012,Spring,1100,Office Hours,tansport,Work_days,0,6,0,100
706490-13112012,Spring,1120,Cooking-time,hotel,Work_days,0,2,0,100
707465-14112012,Spring,6110,Night-time,restaurant,Work_days,0,1,0,100
707561-15112012,Spring,1100,Night-time,tansport,Work_days,0,7,0,100
708026-15112012,Spring,6600,Cooking-time,apartment,Work_days,0,2,0,100
708871-17112012,Spring,6990,Night-time,house,Week_ends,0,2,0,100
709364-17112012,Spring,1100,Night-time,school,Week_ends,0,10,0,100
709634-18112012,Spring,1100,Office Hours,rest_home,Week_ends,0,1,0,100
710009-19112012,Spring,1120,Night-time,industry_facility,Work_days,0,2,0,100
711088-21112012,Spring,1100,Night-time,rest_home,Work_days,0,3,0,100
711233-21112012,Spring,6110,Office Hours,rest_home,Work_days,0,3,0,100
712895-24112012,Spring,6110,Night-time,industry_facility,Week_ends,0,1,0,100
713121-24112012,Spring,6100,Office Hours,house,Week_ends,0,4,0,100
713869-25112012,Spring,7110,Night-time,public_facility,Week_ends,0,5,0,100
714028-25112012,Spring,6200,Office Hours,house,Week_ends,0,2,0,100
714070-25112012,Spring,1100,Office Hours,industry_facility,Week_ends,0,1,0,100
714238-25112012,Spring,1170,Cooking-time,industry_facility,Week_ends,0,1,0,100
714349-25112012,Spring,1200,Office Hours,others,Week_ends,0,1,0,100
714421-25112012,Spring,6120,Office Hours,industry_facility,Week_ends,0,2,0,100
714900-26112012,Spring,6990,Night-time,restaurant,Work_days,0,3,0,100
717563-29112012,Spring,0,Night-time,house,Work_days,0,1,0,100
718465-01122012,Summer,6100,Night-time,shopping_mall,Week_ends,0,29,0,100
718474-01122012,Summer,6990,Night-time,house,Week_ends,0,4,0,100
718486-01122012,Summer,6990,Night-time,school,Week_ends,0,42,0,100
718524-01122012,Summer,6200,Night-time,hotel,Week_ends,0,12,0,100
718529-01122012,Summer,6900,Night-time,office,Week_ends,0,23,0,100
718560-01122012,Summer,6900,Night-time,rest_home,Week_ends,0,57,0,100
718563-01122012,Summer,6100,Night-time,school,Week_ends,0,49,0,100
718582-01122012,Summer,1100,Night-time,others,Week_ends,0,68,0,100
718590-01122012,Summer,6200,Night-time,industry_facility,Week_ends,0,2,0,100
718631-01122012,Summer,6100,Cooking-time,public_facility,Week_ends,0,58,0,100
718701-01122012,Summer,6100,Cooking-time,rest_home,Week_ends,0,77,0,100
718705-01122012,Summer,6200,Cooking-time,shopping_mall,Week_ends,0,21,0,100
718722-01122012,Summer,6990,Office Hours,school,Week_ends,0,40,0,100
718729-01122012,Summer,6100,Office Hours,public_facility,Week_ends,0,31,0,100
718733-01122012,Summer,6100,Office Hours,rest_home,Week_ends,0,44,0,100
718744-01122012,Summer,6100,Office Hours,hotel,Week_ends,0,42,0,100
718763-01122012,Summer,6900,Office Hours,rest_home,Week_ends,0,59,0,100
718864-01122012,Summer,6100,Cooking-time,industry_facility,Week_ends,0,8,0,100
718924-01122012,Summer,6200,Office Hours,others,Week_ends,0,33,0,100
718944-01122012,Summer,6110,Office Hours,hotel,Week_ends,0,6,0,100
718994-01122012,Summer,6100,Office Hours,office,Week_ends,0,16,0,100
719022-01122012,Summer,1100,Office Hours,industry_facility,Week_ends,0,2,0,100
719024-01122012,Summer,6990,Office Hours,industry_facility,Week_ends,0,16,0,100
719030-01122012,Summer,1100,Office Hours,shopping_mall,Week_ends,0,6,0,100
719063-01122012,Summer,6100,Cooking-time,hotel,Week_ends,0,67,0,100
719078-01122012,Summer,6110,Cooking-time,hotel,Week_ends,0,5,0,100
719127-01122012,Summer,6200,Cooking-time,hospital,Week_ends,0,13,0,100
719213-01122012,Summer,6100,Night-time,hospital,Week_ends,0,84,0,100
719408-02122012,Summer,6900,Night-time,industry_facility,Week_ends,0,23,0,100
719445-02122012,Summer,6900,Cooking-time,office,Week_ends,0,48,0,100
719508-02122012,Summer,6990,Office Hours,public_facility,Week_ends,0,42,0,100
719601-02122012,Summer,1100,Office Hours,office,Week_ends,0,4,0,100
719620-02122012,Summer,6200,Office Hours,shopping_mall,Week_ends,0,15,0,100
719744-02122012,Summer,1100,Cooking-time,public_facility,Week_ends,0,11,0,100
719869-03122012,Summer,6110,Night-time,school,Work_days,0,61,0,100
719876-03122012,Summer,1120,Night-time,office,Work_days,0,1,0,100
719887-03122012,Summer,1160,Night-time,office,Work_days,0,1,0,100
719927-03122012,Summer,1100,Night-time,apartment,Work_days,0,22,0,100
720009-03122012,Summer,6990,Cooking-time,industry_facility,Work_days,0,112,0,100
720025-03122012,Summer,6200,Office Hours,school,Work_days,0,13,0,100
720037-03122012,Summer,6200,Office Hours,shopping_mall,Work_days,0,19,0,100
720210-03122012,Summer,1100,Office Hours,public_facility,Work_days,0,14,0,100
720384-03122012,Summer,6200,Cooking-time,office,Work_days,0,25,0,100
720482-04122012,Summer,6100,Night-time,tansport,Work_days,0,33,0,100
720491-04122012,Summer,6200,Night-time,rest_home,Work_days,0,15,0,100
720509-04122012,Summer,6100,Night-time,shopping_mall,Work_days,0,72,0,100
720533-04122012,Summer,6110,Night-time,apartment,Work_days,0,28,0,100
720540-04122012,Summer,6100,Night-time,hotel,Work_days,0,97,0,100
720644-04122012,Summer,6200,Office Hours,apartment,Work_days,0,43,0,100
720978-04122012,Summer,6990,Office Hours,hospital,Work_days,0,116,0,100
721328-04122012,Summer,6200,Night-time,house,Work_days,0,6,0,100
721428-05122012,Summer,1170,Night-time,industry_facility,Work_days,0,2,0,100
721427-05122012,Summer,6120,Night-time,industry_facility,Work_days,0,2,0,100
721465-05122012,Summer,1100,Cooking-time,apartment,Work_days,0,60,0,100
721476-05122012,Summer,1100,Cooking-time,hotel,Work_days,0,24,0,100
721595-05122012,Summer,6200,Office Hours,hotel,Work_days,0,25,0,100
721607-05122012,Summer,6900,Office Hours,rest_home,Work_days,0,148,0,100
721770-05122012,Summer,6200,Cooking-time,public_facility,Work_days,0,42,0,100
722125-05122012,Summer,6110,Office Hours,school,Work_days,0,94,0,100
722193-05122012,Summer,1100,Office Hours,apartment,Work_days,0,37,0,100
722222-05122012,Summer,6110,Office Hours,hospital,Work_days,0,12,0,100
722395-05122012,Summer,6100,Cooking-time,house,Work_days,0,35,0,100
722438-05122012,Summer,6100,Cooking-time,industry_facility,Work_days,0,23,0,100
722691-06122012,Summer,1100,Cooking-time,public_facility,Work_days,0,32,0,100
722735-06122012,Summer,6110,Cooking-time,office,Work_days,0,35,0,100
723411-07122012,Summer,6200,Night-time,school,Work_days,0,24,0,100
723431-07122012,Summer,1100,Night-time,school,Work_days,0,34,0,100
723596-07122012,Summer,6200,Cooking-time,house,Work_days,0,7,0,100
723610-07122012,Summer,7110,Office Hours,public_facility,Work_days,0,7,0,100
723620-07122012,Summer,1120,Office Hours,industry_facility,Work_days,0,3,0,100
723665-07122012,Summer,6100,Office Hours,tansport,Work_days,0,33,0,100
724112-08122012,Summer,6110,Night-time,hospital,Week_ends,0,9,0,100
724133-08122012,Summer,6110,Night-time,others,Week_ends,0,31,0,100
724135-08122012,Summer,6200,Night-time,school,Week_ends,0,5,0,100
724236-08122012,Summer,6100,Night-time,rest_home,Week_ends,0,40,0,100
724300-08122012,Summer,1100,Cooking-time,others,Week_ends,0,49,0,100
724309-08122012,Summer,6200,Cooking-time,house,Week_ends,0,2,0,100
724438-08122012,Summer,6200,Cooking-time,hotel,Week_ends,0,13,0,100
724585-08122012,Summer,6100,Office Hours,house,Week_ends,0,4,0,100
724698-08122012,Summer,6110,Cooking-time,restaurant,Week_ends,0,1,0,100
724758-08122012,Summer,6110,Cooking-time,school,Week_ends,0,37,0,100
725036-09122012,Summer,1100,Night-time,school,Week_ends,0,9,0,100
725068-09122012,Summer,6100,Night-time,industry_facility,Week_ends,0,7,0,100
725081-09122012,Summer,6900,Cooking-time,restaurant,Week_ends,0,7,0,100
725084-09122012,Summer,6990,Cooking-time,industry_facility,Week_ends,0,25,0,100
725154-09122012,Summer,6110,Office Hours,apartment,Week_ends,0,8,0,100
725168-09122012,Summer,6900,Office Hours,office,Week_ends,0,27,0,100
725283-09122012,Summer,6110,Cooking-time,public_facility,Week_ends,0,6,0,100
725330-09122012,Summer,6110,Cooking-time,hospital,Week_ends,0,9,0,100
725494-09122012,Summer,1100,Cooking-time,tansport,Week_ends,0,1,0,100
725547-09122012,Summer,1100,Cooking-time,shopping_mall,Week_ends,0,20,0,100
725606-09122012,Summer,6200,Cooking-time,office,Week_ends,0,11,0,100
725669-09122012,Summer,6110,Night-time,hotel,Week_ends,0,5,0,100
725753-10122012,Summer,6990,Night-time,industry_facility,Work_days,0,45,0,100
725796-10122012,Summer,6200,Night-time,office,Work_days,0,16,0,100
725863-10122012,Summer,1100,Office Hours,hotel,Work_days,0,8,0,100
726241-11122012,Summer,6110,Night-time,hotel,Work_days,0,8,0,100
726281-11122012,Summer,1900,Night-time,apartment,Work_days,0,8,0,100
726323-11122012,Summer,6900,Night-time,house,Work_days,0,30,0,100
726345-11122012,Summer,6990,Cooking-time,tansport,Work_days,0,20,0,100
726361-11122012,Summer,6100,Cooking-time,restaurant,Work_days,0,7,0,100
726616-11122012,Summer,1100,Office Hours,tansport,Work_days,0,4,0,100
726803-11122012,Summer,1100,Night-time,shopping_mall,Work_days,0,36,0,100
726894-12122012,Summer,6200,Night-time,hotel,Work_days,0,25,0,100
726994-12122012,Summer,1100,Cooking-time,industry_facility,Work_days,0,7,0,100
727504-13122012,Summer,1100,Night-time,hotel,Work_days,0,9,0,100
727682-13122012,Summer,6100,Office Hours,house,Work_days,0,11,0,100
727896-13122012,Summer,1100,Cooking-time,rest_home,Work_days,0,13,0,100
728325-14122012,Summer,1100,Night-time,tansport,Work_days,0,10,0,100
728429-14122012,Summer,6200,Cooking-time,tansport,Work_days,0,8,0,100
728521-14122012,Summer,1120,Cooking-time,hospital,Work_days,0,3,0,100
728643-14122012,Summer,6110,Office Hours,shopping_mall,Work_days,0,3,0,100
728917-14122012,Summer,1100,Cooking-time,hospital,Work_days,0,8,0,100
728946-14122012,Summer,6200,Night-time,hospital,Work_days,0,15,0,100
728974-15122012,Summer,6200,Night-time,shopping_mall,Week_ends,0,13,0,100
729064-15122012,Summer,1100,Night-time,apartment,Week_ends,0,8,0,100
729065-15122012,Summer,6200,Night-time,public_facility,Week_ends,0,9,0,100
729126-15122012,Summer,6200,Cooking-time,school,Week_ends,0,14,0,100
729127-15122012,Summer,6110,Cooking-time,office,Week_ends,0,4,0,100
729367-15122012,Summer,6900,Office Hours,house,Week_ends,0,3,0,100
729424-15122012,Summer,6100,Office Hours,tansport,Week_ends,0,7,0,100
729427-15122012,Summer,6100,Office Hours,school,Week_ends,0,36,0,100
729436-15122012,Summer,6110,Office Hours,shopping_mall,Week_ends,0,2,0,100
729447-15122012,Summer,1100,Office Hours,public_facility,Week_ends,0,9,0,100
730440-16122012,Summer,6990,Night-time,rest_home,Week_ends,0,46,0,100
730686-17122012,Summer,6110,Office Hours,industry_facility,Work_days,0,12,0,100
730988-17122012,Summer,1100,Cooking-time,office,Work_days,0,37,0,100
731243-18122012,Summer,7110,Cooking-time,public_facility,Work_days,0,12,0,100
731727-18122012,Summer,6900,Cooking-time,restaurant,Work_days,0,18,0,100
732385-19122012,Summer,6990,Office Hours,restaurant,Work_days,0,5,0,100
732681-19122012,Summer,6990,Night-time,house,Work_days,0,8,0,100
732686-19122012,Summer,6900,Night-time,tansport,Work_days,0,52,0,100
732887-20122012,Summer,6110,Cooking-time,rest_home,Work_days,0,2,0,100
732979-20122012,Summer,1100,Office Hours,school,Work_days,0,29,0,100
733273-20122012,Summer,6200,Office Hours,hospital,Work_days,0,9,0,100
733670-21122012,Summer,6200,Night-time,public_facility,Work_days,0,26,0,100
734355-22122012,Summer,1160,Night-time,office,Week_ends,0,1,0,100
734488-22122012,Summer,6100,Cooking-time,house,Week_ends,0,4,0,100
734547-22122012,Summer,6990,Office Hours,tansport,Week_ends,0,5,0,100
734741-22122012,Summer,6900,Office Hours,tansport,Week_ends,0,13,0,100
735050-22122012,Summer,6120,Cooking-time,industry_facility,Week_ends,0,1,0,100
735051-22122012,Summer,1170,Cooking-time,industry_facility,Week_ends,0,1,0,100
735126-22122012,Summer,6110,Night-time,apartment,Week_ends,0,4,0,100
735165-23122012,Summer,6110,Night-time,office,Week_ends,0,2,0,100
735196-23122012,Summer,1900,Night-time,apartment,Week_ends,0,3,0,100
735385-23122012,Summer,6110,Office Hours,hospital,Week_ends,0,1,0,100
735408-23122012,Summer,1120,Office Hours,others,Week_ends,0,2,0,100
735528-23122012,Summer,0,Cooking-time,apartment,Week_ends,0,1,0,100
735819-23122012,Summer,7110,Office Hours,public_facility,Week_ends,0,2,0,100
737924-25122012,Summer,6110,Night-time,industry_facility,Work_days,0,5,0,100
738112-26122012,Summer,0,Cooking-time,apartment,Work_days,0,1,0,100
738130-26122012,Summer,0,Cooking-time,house,Work_days,0,1,0,100
738513-27122012,Summer,1900,Cooking-time,public_facility,Work_days,0,2,0,100
738964-28122012,Summer,1900,Night-time,public_facility,Work_days,0,1,0,100
739865-29122012,Summer,6200,Office Hours,school,Week_ends,0,6,0,100
739987-29122012,Summer,6200,Office Hours,office,Week_ends,0,3,0,100
740061-29122012,Summer,6200,Office Hours,hotel,Week_ends,0,9,0,100
740502-30122012,Summer,6100,Cooking-time,tansport,Week_ends,0,23,0,100
741316-31122012,Summer,6110,Cooking-time,shopping_mall,Work_days,0,5,0,100
741547-31122012,Summer,6900,Office Hours,house,Work_days,0,7,0,100
001695-03012013,Summer,1120,Night-time,others,Work_days,0,8,0,100
001755-03012013,Summer,6200,Cooking-time,hospital,Work_days,0,24,0,100
002491-04012013,Summer,1120,Night-time,hospital,Work_days,0,2,0,100
003165-04012013,Summer,0,Night-time,others,Work_days,0,5,0,100
003323-05012013,Summer,6990,Night-time,restaurant,Week_ends,0,5,0,100
003673-05012013,Summer,6990,Office Hours,restaurant,Week_ends,0,1,0,100
004306-06012013,Summer,6900,Night-time,tansport,Week_ends,0,19,0,100
004377-06012013,Summer,6200,Cooking-time,rest_home,Week_ends,0,7,0,100
004383-06012013,Summer,6990,Cooking-time,restaurant,Week_ends,0,4,0,100
004724-06012013,Summer,1100,Office Hours,rest_home,Week_ends,0,2,0,100
004839-06012013,Summer,1100,Cooking-time,rest_home,Week_ends,0,5,0,100
005232-07012013,Summer,1120,Office Hours,hospital,Work_days,0,1,0,100
006273-08012013,Summer,1120,Office Hours,shopping_mall,Work_days,0,2,0,100
007523-08012013,Summer,1170,Cooking-time,others,Work_days,0,1,0,100
008296-09012013,Summer,1900,Office Hours,others,Work_days,0,6,0,100
010298-11012013,Summer,6110,Cooking-time,house,Work_days,0,3,0,100
011551-12012013,Summer,6200,Office Hours,industry_facility,Week_ends,0,2,0,100
011710-12012013,Summer,1100,Cooking-time,hotel,Week_ends,0,8,0,100
011931-12012013,Summer,6900,Office Hours,industry_facility,Week_ends,0,10,0,100
012854-13012013,Summer,1900,Cooking-time,public_facility,Week_ends,0,2,0,100
013108-13012013,Summer,6200,Office Hours,rest_home,Week_ends,0,6,0,100
013160-13012013,Summer,6200,Office Hours,hospital,Week_ends,0,5,0,100
014862-15012013,Summer,1200,Cooking-time,others,Work_days,0,2,0,100
015038-16012013,Summer,6100,Night-time,house,Work_days,0,19,0,100
015208-16012013,Summer,6120,Office Hours,others,Work_days,0,5,0,100
015210-16012013,Summer,1170,Office Hours,industry_facility,Work_days,0,1,0,100
015561-16012013,Summer,1120,Cooking-time,hotel,Work_days,0,3,0,100
015614-16012013,Summer,6110,Night-time,rest_home,Work_days,0,12,0,100
017529-18012013,Summer,6110,Cooking-time,restaurant,Work_days,0,1,0,100
018890-19012013,Summer,1120,Night-time,others,Week_ends,0,3,0,100
