incident_number,season,repeat_count,build_type,true_alarm,false_alarm,true_percentage,false_percentage
602989-17062012,Winter,2,apartment,0,81,0,100
603477-18062012,Winter,1,industry_facility,0,70,0,100
604813-21062012,Winter,1,rest_home,0,146,0,100
606039-23062012,Winter,1,house,0,34,0,100
606885-25062012,Winter,2,industry_facility,0,9,0,100
610434-01072012,Winter,4,apartment,0,10,0,100
611309-02072012,Winter,2,office,0,28,0,100
611562-03072012,Winter,3,office,0,8,0,100
611808-03072012,Winter,3,shopping_mall,0,17,0,100
611828-03072012,Winter,4,shopping_mall,0,9,0,100
612022-04072012,Winter,5,apartment,0,5,0,100
612533-05072012,Winter,4,others,0,29,0,100
612694-05072012,Winter,3,school,0,19,0,100
613265-06072012,Winter,3,hospital,0,24,0,100
617019-13072012,Winter,4,office,0,7,0,100
617744-14072012,Winter,2,public_facility,0,24,0,100
619240-17072012,Winter,2,rest_home,0,22,0,100
619336-17072012,Winter,6,apartment,0,2,0,100
619344-17072012,Winter,7,apartment,0,2,0,100
619610-18072012,Winter,8,apartment,0,2,0,100
622656-24072012,Winter,3,rest_home,0,8,0,100
627325-02082012,Winter,6,others,0,10,0,100
627652-02082012,Winter,7,others,0,8,0,100
627895-03082012,Winter,8,others,0,5,0,100
627919-03082012,Winter,3,public_facility,0,7,0,100
629467-05082012,Winter,5,shopping_mall,0,3,0,100
634684-11082012,Winter,1,restaurant,0,8,0,100
639005-18082012,Winter,4,public_facility,0,3,0,100
642430-22082012,Winter,4,hospital,0,8,0,100
649298-01092012,Spring,2,others,0,218,0,100
649324-01092012,Spring,1,rest_home,0,193,0,100
649480-01092012,Spring,3,others,0,61,0,100
649607-01092012,Spring,2,apartment,0,58,0,100
649774-01092012,Spring,4,others,0,22,0,100
650965-03092012,Spring,1,industry_facility,0,73,0,100
651617-03092012,Spring,1,house,0,22,0,100
652087-04092012,Spring,2,house,0,3,0,100
652106-04092012,Spring,2,office,0,29,0,100
653741-05092012,Spring,2,hotel,0,37,0,100
653814-05092012,Spring,3,apartment,0,16,0,100
653868-05092012,Spring,3,hotel,0,10,0,100
657419-09092012,Spring,2,tansport,0,6,0,100
657446-09092012,Spring,3,tansport,0,4,0,100
657544-09092012,Spring,4,tansport,0,1,0,100
659927-12092012,Spring,3,school,0,12,0,100
660022-12092012,Spring,4,school,0,3,0,100
660523-12092012,Spring,2,industry_facility,0,8,0,100
661099-13092012,Spring,2,rest_home,0,28,0,100
661282-14092012,Spring,4,hotel,0,4,0,100
661528-14092012,Spring,3,office,0,9,0,100
661785-14092012,Spring,4,office,0,5,0,100
661790-14092012,Spring,5,office,0,1,0,100
661987-15092012,Spring,6,office,0,1,0,100
662003-15092012,Spring,7,office,0,1,0,100
662162-15092012,Spring,8,office,0,1,0,100
662531-15092012,Spring,9,office,0,1,0,100
664716-19092012,Spring,3,public_facility,0,14,0,100
669917-26092012,Spring,3,rest_home,0,6,0,100
669921-26092012,Spring,4,rest_home,0,1,0,100
670891-27092012,Spring,5,apartment,0,2,0,100
671454-28092012,Spring,4,hospital,0,7,0,100
671463-28092012,Spring,5,hospital,0,4,0,100
671475-28092012,Spring,6,hospital,0,3,0,100
671480-28092012,Spring,7,hospital,0,2,0,100
671483-28092012,Spring,8,hospital,0,1,0,100
671487-28092012,Spring,9,hospital,0,1,0,100
671909-28092012,Spring,10,hospital,0,1,0,100
671932-28092012,Spring,11,hospital,0,1,0,100
673560-30092012,Spring,5,school,0,1,0,100
676303-04102012,Spring,3,shopping_mall,0,17,0,100
676365-04102012,Spring,4,shopping_mall,0,4,0,100
685572-16102012,Spring,1,restaurant,0,11,0,100
709998-19112012,Spring,4,public_facility,0,3,0,100
720052-03122012,Summer,2,shopping_mall,0,59,0,100
722516-05122012,Summer,5,others,0,9,0,100
722592-06122012,Summer,6,others,0,6,0,100
722656-06122012,Summer,7,others,0,3,0,100
722684-06122012,Summer,8,others,0,3,0,100
722982-06122012,Summer,3,apartment,0,15,0,100
724512-08122012,Summer,1,house,0,32,0,100
725036-09122012,Summer,2,school,0,94,0,100
725131-09122012,Summer,2,industry_facility,0,18,0,100
726361-11122012,Summer,1,restaurant,0,10,0,100
726937-12122012,Summer,1,tansport,0,64,0,100
728351-14122012,Summer,2,rest_home,0,38,0,100
729762-16122012,Summer,3,shopping_mall,0,21,0,100
730552-17122012,Summer,3,rest_home,0,9,0,100
732427-19122012,Summer,3,public_facility,0,6,0,100
732434-19122012,Summer,4,public_facility,0,1,0,100
732621-19122012,Summer,3,hospital,0,18,0,100
732716-19122012,Summer,4,hospital,0,5,0,100
732764-20122012,Summer,5,public_facility,0,1,0,100
733094-20122012,Summer,3,school,0,25,0,100
733651-21122012,Summer,4,school,0,9,0,100
733666-21122012,Summer,5,school,0,7,0,100
733749-21122012,Summer,6,school,0,6,0,100
734218-21122012,Summer,7,school,0,3,0,100
738200-26122012,Summer,4,shopping_mall,0,6,0,100
738391-27122012,Summer,5,shopping_mall,0,3,0,100
738432-27122012,Summer,6,shopping_mall,0,2,0,100
738765-27122012,Summer,7,shopping_mall,0,2,0,100
739340-28122012,Summer,8,shopping_mall,0,2,0,100
001792-03012013,Summer,3,hotel,0,13,0,100
004383-06012013,Summer,2,restaurant,0,4,0,100
008337-09012013,Summer,4,rest_home,0,2,0,100
008706-09012013,Summer,5,rest_home,0,2,0,100
008835-09012013,Summer,6,rest_home,0,1,0,100
009098-10012013,Summer,2,house,0,3,0,100
013636-13012013,Summer,4,hotel,0,5,0,100
013696-14012013,Summer,5,hotel,0,3,0,100
013764-14012013,Summer,6,hotel,0,2,0,100
013782-14012013,Summer,7,hotel,0,1,0,100
015166-16012013,Summer,2,tansport,0,15,0,100
017474-18012013,Summer,4,apartment,0,7,0,100
024515-26012013,Summer,5,apartment,0,4,0,100
027216-29012013,Summer,9,others,0,2,0,100
027507-29012013,Summer,3,house,0,1,0,100
029376-01022013,Summer,3,office,0,10,0,100
030360-02022013,Summer,6,apartment,0,2,0,100
030431-02022013,Summer,7,apartment,0,2,0,100
030460-03022013,Summer,8,apartment,0,2,0,100
040834-21022013,Summer,3,tansport,0,3,0,100
040956-21022013,Summer,4,tansport,0,1,0,100
041081-22022013,Summer,5,tansport,0,1,0,100
041085-22022013,Summer,6,tansport,0,1,0,100
041680-22022013,Summer,7,tansport,0,1,0,100
044087-24022013,Summer,3,restaurant,0,1,0,100
044456-25022013,Summer,5,hospital,0,3,0,100
046479-01032013,Autumn,1,rest_home,0,271,0,100
046535-01032013,Autumn,2,school,0,106,0,100
046730-01032013,Autumn,1,office,0,187,0,100
047193-02032013,Autumn,3,others,0,69,0,100
047468-02032013,Autumn,0,restaurant,0,95,0,100
047513-02032013,Autumn,1,restaurant,0,11,0,100
047594-02032013,Autumn,2,hotel,0,37,0,100
047658-03032013,Autumn,3,hotel,0,6,0,100
048078-03032013,Autumn,1,house,0,28,0,100
048556-04032013,Autumn,2,shopping_mall,0,73,0,100
048662-05032013,Autumn,3,hospital,0,26,0,100
049002-05032013,Autumn,3,industry_facility,0,3,0,100
054119-15032013,Autumn,1,tansport,0,52,0,100
054698-16032013,Autumn,5,others,0,11,0,100
054702-16032013,Autumn,6,others,0,3,0,100
054713-16032013,Autumn,7,others,0,1,0,100
054727-16032013,Autumn,8,others,0,2,0,100
054752-16032013,Autumn,9,others,0,1,0,100
054928-16032013,Autumn,10,others,0,1,0,100
054988-16032013,Autumn,11,others,0,1,0,100
055001-16032013,Autumn,12,others,0,1,0,100
055016-16032013,Autumn,13,others,0,1,0,100
055058-16032013,Autumn,14,others,0,1,0,100
055073-16032013,Autumn,15,others,0,1,0,100
056478-19032013,Autumn,3,school,0,33,0,100
056616-19032013,Autumn,4,school,0,16,0,100
056702-19032013,Autumn,5,school,0,11,0,100
057285-20032013,Autumn,6,school,0,7,0,100
057640-21032013,Autumn,2,office,0,39,0,100
059230-23032013,Autumn,2,rest_home,0,40,0,100
059360-23032013,Autumn,7,school,0,5,0,100
062819-28032013,Autumn,3,apartment,0,18,0,100
063932-30032013,Autumn,3,shopping_mall,0,13,0,100
064806-01042013,Autumn,4,hotel,0,2,0,100
064850-01042013,Autumn,5,hotel,0,2,0,100
067780-06042013,Autumn,8,school,0,3,0,100
068906-08042013,Autumn,2,house,0,5,0,100
072666-14042013,Autumn,4,shopping_mall,0,3,0,100
075831-19042013,Autumn,3,public_facility,0,9,0,100
077506-22042013,Autumn,3,house,0,2,0,100
082588-01052013,Autumn,3,rest_home,0,9,0,100
086637-08052013,Autumn,4,hospital,0,7,0,100
087607-09052013,Autumn,2,tansport,0,8,0,100
087617-09052013,Autumn,3,tansport,0,3,0,100
094325-20052013,Autumn,4,apartment,0,10,0,100
094368-20052013,Autumn,5,apartment,0,7,0,100
094407-20052013,Autumn,6,apartment,0,6,0,100
096952-24052013,Autumn,7,apartment,0,4,0,100
097298-25052013,Autumn,8,apartment,0,3,0,100
101012-31052013,Autumn,3,office,0,5,0,100
110364-19062013,Winter,3,hotel,0,8,0,100
111672-21062013,Winter,3,industry_facility,0,4,0,100
113008-24062013,Winter,5,office,0,1,0,100
113383-24062013,Winter,2,tansport,0,6,0,100
114006-25062013,Winter,4,school,0,7,0,100
114037-25062013,Winter,5,school,0,3,0,100
115124-27062013,Winter,3,tansport,0,1,0,100
118473-04072013,Winter,9,others,0,1,0,100
128555-23072013,Winter,2,house,0,5,0,100
147889-23082013,Winter,5,hospital,0,1,0,100
167749-18092013,Spring,2,restaurant,0,2,0,100
209014-30102013,Spring,5,public_facility,0,1,0,100
209016-30102013,Spring,6,public_facility,0,1,0,100
209018-30102013,Spring,7,public_facility,0,1,0,100
209019-30102013,Spring,8,public_facility,0,1,0,100
209020-30102013,Spring,9,public_facility,0,1,0,100
209021-30102013,Spring,10,public_facility,0,1,0,100
209022-30102013,Spring,11,public_facility,0,1,0,100
209023-30102013,Spring,12,public_facility,0,1,0,100
209024-30102013,Spring,13,public_facility,0,1,0,100
209025-30102013,Spring,14,public_facility,0,1,0,100
209026-30102013,Spring,15,public_facility,0,1,0,100
209027-30102013,Spring,16,public_facility,0,1,0,100
209028-30102013,Spring,17,public_facility,0,1,0,100
209029-30102013,Spring,18,public_facility,0,1,0,100
209030-30102013,Spring,19,public_facility,0,1,0,100
209031-30102013,Spring,20,public_facility,0,1,0,100
209032-30102013,Spring,21,public_facility,0,1,0,100
209033-30102013,Spring,22,public_facility,0,1,0,100
209034-30102013,Spring,23,public_facility,0,1,0,100
209035-30102013,Spring,24,public_facility,0,1,0,100
209036-30102013,Spring,25,public_facility,0,1,0,100
209037-30102013,Spring,26,public_facility,0,1,0,100
209038-30102013,Spring,27,public_facility,0,1,0,100
209039-30102013,Spring,28,public_facility,0,1,0,100
209040-30102013,Spring,29,public_facility,0,1,0,100
209041-30102013,Spring,30,public_facility,0,1,0,100
209042-30102013,Spring,31,public_facility,0,1,0,100
209043-30102013,Spring,32,public_facility,0,1,0,100
209044-30102013,Spring,33,public_facility,0,1,0,100
209045-30102013,Spring,34,public_facility,0,1,0,100
209046-30102013,Spring,35,public_facility,0,1,0,100
209047-30102013,Spring,36,public_facility,0,1,0,100
209048-30102013,Spring,37,public_facility,0,1,0,100
209049-30102013,Spring,38,public_facility,0,1,0,100
209050-30102013,Spring,39,public_facility,0,1,0,100
209051-30102013,Spring,40,public_facility,0,1,0,100
209052-30102013,Spring,41,public_facility,0,1,0,100
209053-30102013,Spring,42,public_facility,0,1,0,100
209054-30102013,Spring,43,public_facility,0,1,0,100
209064-30102013,Spring,44,public_facility,0,1,0,100
209067-30102013,Spring,45,public_facility,0,1,0,100
209565-31102013,Spring,5,others,0,9,0,100
209566-31102013,Spring,6,others,0,6,0,100
209567-31102013,Spring,7,others,0,3,0,100
209568-31102013,Spring,8,others,0,2,0,100
209569-31102013,Spring,9,others,0,1,0,100
209570-31102013,Spring,10,others,0,1,0,100
220961-13112013,Spring,3,industry_facility,0,2,0,100
035151-21022014,Summer,10,others,0,1,0,100
046229-14032014,Autumn,4,rest_home,0,1,0,100
060698-08042014,Autumn,5,hospital,0,2,0,100
064669-16042014,Autumn,4,public_facility,0,4,0,100
074369-05052014,Autumn,5,shopping_mall,0,1,0,100
074689-05052014,Autumn,6,shopping_mall,0,1,0,100
074962-06052014,Autumn,7,shopping_mall,0,1,0,100
074972-06052014,Autumn,5,public_facility,0,3,0,100
074995-06052014,Autumn,6,public_facility,0,2,0,100
075007-06052014,Autumn,7,public_facility,0,2,0,100
075421-06052014,Autumn,8,shopping_mall,0,1,0,100
075447-07052014,Autumn,9,shopping_mall,0,1,0,100
075454-07052014,Autumn,10,shopping_mall,0,1,0,100
075565-07052014,Autumn,11,shopping_mall,0,1,0,100
091681-05062014,Winter,2,restaurant,0,1,0,100
105123-01072014,Winter,3,house,0,1,0,100
117523-21072014,Winter,4,hotel,0,2,0,100
119853-25072014,Winter,6,school,0,2,0,100
186504-06112014,Spring,5,hotel,0,1,0,100
186509-06112014,Spring,6,hotel,0,1,0,100
188498-09112014,Spring,6,apartment,0,1,0,100
204117-30112014,Spring,5,shopping_mall,0,1,0,100
204121-30112014,Spring,6,shopping_mall,0,1,0,100
208284-06122014,Summer,4,office,0,3,0,100
013317-23012015,Summer,5,office,0,1,0,100
028954-21022015,Summer,8,school,0,2,0,100
029430-22022015,Summer,9,school,0,2,0,100
033018-01032015,Autumn,10,school,0,2,0,100
033458-01032015,Autumn,11,school,0,1,0,100
033778-02032015,Autumn,4,office,0,1,0,100
034064-03032015,Autumn,5,office,0,1,0,100
034429-03032015,Autumn,6,office,0,1,0,100
034682-04032015,Autumn,7,office,0,1,0,100
035162-05032015,Autumn,8,office,0,1,0,100
053850-06042015,Autumn,4,industry_facility,0,1,0,100
053858-06042015,Autumn,5,industry_facility,0,1,0,100
056971-12042015,Autumn,9,apartment,0,1,0,100
057049-12042015,Autumn,10,apartment,0,1,0,100
058071-14042015,Autumn,2,restaurant,0,1,0,100
069761-24042015,Autumn,6,hotel,0,1,0,100
075747-03052015,Autumn,9,school,0,2,0,100
091080-02062015,Winter,4,industry_facility,0,2,0,100
102479-24062015,Winter,4,rest_home,0,1,0,100
